index,value
2014 1,38
2014 2,105
2014 3,98
2014 4,92
2014 5,54
2014 6,53
2014 7,28
2014 8,39
2014 9,65
2014 10,62
2014 11,68
2014 12,63
2015 1,76
2015 2,22
2015 3,20
2015 4,-22
2015 5,-3
2015 6,-15
2015 7,-24
2015 8,-18
2015 9,-7
2015 10,36
2015 11,-12
2015 12,18
2016 1,3
2016 2,6
2016 3,-16
2016 4,40
2016 5,44
2016 6,46
2016 7,34
2016 8,31
2016 9,38
2016 10,-7
2016 11,55
2016 12,48
2017 1,65
2017 2,62
2017 3,95
2017 4,85
2017 5,75
2017 6,81
2017 7,84
2017 8,33
2017 9,-21
2017 10,4
2017 11,-2
2017 12,-25
2018 1,-66
2018 2,-54
2018 3,-77
2018 4,-106
2018 5,-97
2018 6,-107
2018 7,-78
2018 8,-36
2018 9,-11
2018 10,-15
2018 11,-44
2018 12,-30
2019 1,11
2019 2,15
2019 3,34
2019 4,55
2019 5,37
2019 6,74
2019 7,63
2019 8,23
2019 9,61
2019 10,5
2019 11,34
2019 12,23
2020 1,7
2020 2,-9
2020 3,-100
2020 4,-130
2020 5,-70
2020 6,-89
