index,value
2013 1,7
2013 2,6.9
2013 3,6.9
2013 4,6.9
2013 5,6.9
2013 6,7
2013 7,7.1
2013 8,7.1
2013 9,7
2013 10,6.9
2013 11,7
2013 12,7
2014 1,7
2014 2,7.1
2014 3,7.1
2014 4,7.1
2014 5,7
2014 6,7
2014 7,7
2014 8,7.1
2014 9,7.1
2014 10,7.1
2014 11,7.1
2014 12,7.2
2015 1,7.2
2015 2,7.1
2015 3,7.1
2015 4,6.9
2015 5,6.9
2015 6,6.9
2015 7,6.8
2015 8,6.9
2015 9,7
2015 10,7.1
2015 11,7
2015 12,7.1
2016 1,7.1
2016 2,7.1
2016 3,7
2016 4,7
2016 5,7
2016 6,7
2016 7,6.9
2016 8,7
2016 9,7.1
2016 10,7
2016 11,7.1
2016 12,7.2
2017 1,7.3
2017 2,7.2
2017 3,7.2
2017 4,7.3
2017 5,7.2
2017 6,7.2
2017 7,7.1
2017 8,7
2017 9,6.9
2017 10,7
2017 11,7
2017 12,7.1
2018 1,7
2018 2,7
2018 3,6.9
2018 4,6.8
2018 5,6.8
2018 6,6.8
2018 7,6.9
2018 8,6.9
2018 9,6.9
2018 10,6.9
2018 11,6.8
2018 12,7
2019 1,7
2019 2,7
2019 3,7
2019 4,7
2019 5,6.9
2019 6,7
2019 7,7
2019 8,6.9
2019 9,7
2019 10,6.8
2019 11,6.9
2019 12,6.9
2020 1,6.9
2020 2,6.8
2020 3,6.7
2020 4,6.6
2020 5,6.7
2020 6,6.8
